<Header>
User name: Carl
Location: probe cabin
# of Location: 1
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2.05 (15-06-2020)
Unit: counts/liter (differential)
C-factor: 1,00
location factor: 1,00
Comment: F2583
online data
<Data>
[d&t31.12.2035 11:50:55]	0,253 um	0,298 um	0,352 um	0,414 um	0,488 um	0,576 um	0,679 um	0,800 um	0,943 um	1,112 um	1,310 um	1,545 um	1,821 um	2,146 um	2,530 um	2,982 um
12.06.2025 13:21:15	17390,0	7470,0	4910,0	3050,0	1200,0	350,0	350,0	100,0	50,0	0,0	100,0	50,0	100,0	0,0	0,0	0,0
12.06.2025 13:21:16	16280,0	7570,0	3860,0	3000,0	1100,0	650,0	300,0	0,0	50,0	0,0	150,0	0,0	50,0	50,0	0,0	0,0
12.06.2025 13:21:17	15970,0	6920,0	4710,0	2550,0	1000,0	350,0	350,0	0,0	0,0	50,0	50,0	50,0	50,0	0,0	0,0	50,0
12.06.2025 13:21:18	18440,0	7720,0	4510,0	2100,0	850,0	800,0	200,0	200,0	150,0	0,0	50,0	0,0	50,0	50,0	0,0	100,0
12.06.2025 13:21:19	17700,0	6920,0	5510,0	3200,0	900,0	400,0	450,0	150,0	100,0	0,0	100,0	50,0	0,0	0,0	50,0	0,0
12.06.2025 13:21:20	16020,0	7420,0	3960,0	2750,0	900,0	250,0	200,0	0,0	0,0	50,0	100,0	100,0	100,0	50,0	0,0	100,0
12.06.2025 13:21:21	16690,0	7270,0	4760,0	3050,0	1250,0	550,0	400,0	50,0	200,0	50,0	100,0	0,0	100,0	150,0	0,0	100,0
12.06.2025 13:21:22	17750,0	8130,0	5010,0	3250,0	1300,0	700,0	100,0	50,0	0,0	100,0	100,0	200,0	50,0	0,0	100,0	50,0
12.06.2025 13:21:23	15790,0	8020,0	5560,0	2450,0	1250,0	400,0	300,0	100,0	0,0	150,0	0,0	0,0	100,0	0,0	0,0	0,0
12.06.2025 13:21:24	15020,0	7820,0	4310,0	2300,0	1250,0	650,0	150,0	50,0	100,0	100,0	0,0	50,0	50,0	0,0	0,0	0,0
12.06.2025 13:21:25	17030,0	6920,0	4660,0	2450,0	900,0	500,0	300,0	150,0	0,0	100,0	200,0	100,0	100,0	100,0	50,0	100,0
12.06.2025 13:21:26	16170,0	6970,0	3610,0	2150,0	1550,0	700,0	350,0	100,0	0,0	50,0	100,0	50,0	50,0	50,0	50,0	150,0
12.06.2025 13:21:27	14270,0	7320,0	5110,0	2850,0	1000,0	650,0	350,0	150,0	100,0	0,0	100,0	50,0	150,0	50,0	50,0	50,0
12.06.2025 13:21:28	17950,0	7770,0	4310,0	2550,0	1350,0	750,0	250,0	200,0	100,0	50,0	0,0	100,0	50,0	0,0	50,0	150,0
12.06.2025 13:21:29	17490,0	8120,0	3260,0	3100,0	1000,0	700,0	150,0	200,0	100,0	200,0	0,0	50,0	0,0	0,0	0,0	100,0
12.06.2025 13:21:30	17640,0	8320,0	4710,0	2350,0	1050,0	600,0	300,0	50,0	50,0	50,0	0,0	50,0	50,0	0,0	50,0	0,0
12.06.2025 13:21:31	17400,0	7970,0	4460,0	3200,0	1350,0	600,0	250,0	100,0	100,0	50,0	50,0	50,0	100,0	100,0	0,0	100,0
12.06.2025 13:21:32	17450,0	7220,0	4910,0	2950,0	1350,0	950,0	350,0	0,0	100,0	0,0	0,0	50,0	50,0	0,0	100,0	50,0
12.06.2025 13:21:33	18300,0	8330,0	4210,0	3100,0	1300,0	750,0	300,0	200,0	100,0	150,0	50,0	150,0	50,0	0,0	50,0	50,0
12.06.2025 13:21:34	15370,0	7570,0	3860,0	2250,0	1300,0	450,0	500,0	50,0	50,0	50,0	50,0	100,0	0,0	0,0	0,0	100,0
12.06.2025 13:21:35	15790,0	7470,0	4460,0	3300,0	1250,0	700,0	400,0	250,0	50,0	100,0	100,0	50,0	50,0	0,0	50,0	50,0
12.06.2025 13:21:36	17300,0	8830,0	5110,0	3800,0	850,0	800,0	300,0	200,0	0,0	100,0	100,0	150,0	0,0	0,0	0,0	150,0
12.06.2025 13:21:37	15580,0	6670,0	5510,0	3300,0	1250,0	700,0	300,0	200,0	100,0	100,0	0,0	0,0	0,0	0,0	0,0	100,0
12.06.2025 13:21:38	17530,0	6970,0	4310,0	2700,0	1200,0	500,0	100,0	50,0	100,0	0,0	150,0	50,0	100,0	50,0	0,0	50,0
12.06.2025 13:21:39	14370,0	6620,0	4760,0	3750,0	1350,0	250,0	350,0	150,0	150,0	50,0	200,0	50,0	150,0	0,0	0,0	50,0
12.06.2025 13:21:40	16690,0	7570,0	4710,0	3200,0	1300,0	450,0	200,0	200,0	50,0	0,0	50,0	200,0	0,0	50,0	50,0	0,0
12.06.2025 13:21:41	15790,0	7920,0	4510,0	3200,0	1150,0	650,0	150,0	150,0	100,0	100,0	100,0	0,0	100,0	50,0	50,0	150,0
12.06.2025 13:21:42	15980,0	7570,0	4210,0	3300,0	1300,0	700,0	300,0	100,0	50,0	150,0	50,0	0,0	100,0	0,0	100,0	50,0
12.06.2025 13:21:43	13830,0	8870,0	4210,0	2600,0	1500,0	750,0	200,0	200,0	100,0	100,0	50,0	0,0	0,0	100,0	0,0	50,0
12.06.2025 13:21:44	16930,0	7620,0	4160,0	2400,0	900,0	350,0	100,0	250,0	100,0	100,0	150,0	50,0	0,0	50,0	100,0	150,0
12.06.2025 13:21:45	16480,0	6820,0	4360,0	2650,0	1250,0	1150,0	300,0	100,0	0,0	100,0	50,0	0,0	0,0	50,0	50,0	150,0
12.06.2025 13:21:46	17680,0	7370,0	4110,0	2700,0	1000,0	500,0	200,0	100,0	0,0	50,0	50,0	0,0	50,0	0,0	100,0	50,0
12.06.2025 13:21:47	15530,0	8670,0	4560,0	2350,0	1000,0	650,0	300,0	50,0	200,0	100,0	0,0	100,0	0,0	0,0	0,0	100,0
12.06.2025 13:21:48	14620,0	7320,0	4760,0	3100,0	1200,0	300,0	150,0	150,0	150,0	0,0	50,0	50,0	0,0	50,0	0,0	0,0
12.06.2025 13:21:49	16940,0	8070,0	3760,0	3400,0	1150,0	500,0	150,0	50,0	50,0	100,0	50,0	150,0	50,0	50,0	0,0	0,0
12.06.2025 13:21:50	17350,0	7070,0	4760,0	3750,0	1450,0	700,0	250,0	50,0	200,0	0,0	100,0	50,0	100,0	0,0	50,0	100,0
