<Header>
User name: Carl
Location: probe cabin
# of Location: 1
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2.05 (15-06-2020)
Unit: log data
C-factor: 1,00
location factor: 1,00
Comment: F2583
online data
K-line: K	779	809	1273	0	0	62	118

<Data>
[d&t31.12.2035 11:50:55]	P	Year	Mon	Day	Hr	Min	Sec	Loc	GF	Err	Qbatt	Im	Temp	rH	Velo	Pres	Dir	Rain	Iv	P_Weight	P_Vol[l]	rH_i	Temp_i	Latitude	Longitude	Height	Flow[%]	SFlow
12.06.2025 13:21:14	P	25	6	12	13	20	54	1	0	0	NA	10	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,0	45,9	25,9	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:15	P	25	6	12	13	20	56	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,0	45,9	25,9	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:16	P	25	6	12	13	20	57	1	100	0	NA	26	NA	NA	NA	1022,9	NA	NA	7	1116,4	34759,0	45,9	25,9	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:17	P	25	6	12	13	20	58	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,0	45,9	25,9	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:18	P	25	6	12	13	20	59	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,0	45,9	25,9	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:19	P	25	6	12	13	21	0	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,1	43,1	25,9	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:20	P	25	6	12	13	21	1	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,1	43,1	25,9	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:21	P	25	6	12	13	21	2	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,1	43,1	25,9	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:22	P	25	6	12	13	21	3	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,1	43,1	25,9	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:23	P	25	6	12	13	21	4	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,1	43,1	25,9	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:24	P	25	6	12	13	21	5	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,1	43,1	25,9	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:25	P	25	6	12	13	21	6	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,2	41,3	26,0	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:26	P	25	6	12	13	21	7	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,2	41,3	26,0	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:27	P	25	6	12	13	21	8	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,2	41,3	26,0	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:28	P	25	6	12	13	21	9	1	100	0	NA	26	NA	NA	NA	1022,9	NA	NA	7	1116,4	34759,2	41,3	26,0	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:29	P	25	6	12	13	21	10	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,2	41,3	26,0	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:30	P	25	6	12	13	21	11	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,2	41,3	26,0	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:31	P	25	6	12	13	21	12	1	100	0	NA	26	NA	NA	NA	1022,9	NA	NA	7	1116,4	34759,3	40,3	25,9	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:32	P	25	6	12	13	21	13	1	100	0	NA	26	NA	NA	NA	1022,9	NA	NA	7	1116,4	34759,3	40,3	25,9	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:33	P	25	6	12	13	21	14	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,3	40,3	25,9	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:34	P	25	6	12	13	21	15	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,3	40,3	25,9	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:35	P	25	6	12	13	21	16	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,3	40,3	25,9	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:36	P	25	6	12	13	21	17	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,3	40,3	25,9	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:37	P	25	6	12	13	21	18	1	100	0	NA	26	NA	NA	NA	1022,0	NA	NA	7	1116,4	34759,4	39,6	26,0	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:38	P	25	6	12	13	21	19	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,4	39,6	26,0	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:39	P	25	6	12	13	21	20	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,4	39,6	26,0	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:40	P	25	6	12	13	21	21	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,4	39,6	26,0	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:41	P	25	6	12	13	21	22	1	100	0	NA	26	NA	NA	NA	1022,9	NA	NA	7	1116,4	34759,4	39,6	26,0	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:42	P	25	6	12	13	21	23	1	100	0	NA	26	NA	NA	NA	1022,9	NA	NA	7	1116,4	34759,4	39,6	26,0	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:43	P	25	6	12	13	21	24	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,6	39,2	26,0	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:44	P	25	6	12	13	21	25	1	100	0	NA	26	NA	NA	NA	1022,9	NA	NA	7	1116,4	34759,6	39,2	26,0	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:45	P	25	6	12	13	21	26	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,6	39,2	26,0	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:46	P	25	6	12	13	21	27	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,6	39,2	26,0	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:47	P	25	6	12	13	21	28	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,6	39,2	26,0	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:48	P	25	6	12	13	21	29	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,6	39,2	26,0	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:49	P	25	6	12	13	21	30	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,7	38,8	25,9	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:50	P	25	6	12	13	21	31	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,7	38,8	25,9	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:51	P	25	6	12	13	21	32	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,7	38,8	25,9	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:52	P	25	6	12	13	21	33	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,7	38,8	25,9	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:53	P	25	6	12	13	21	34	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,7	38,8	25,9	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:54	P	25	6	12	13	21	35	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,7	38,8	25,9	NA	NA	NA	104,1A	NA	
12.06.2025 13:21:55	P	25	6	12	13	21	36	1	100	0	NA	26	NA	NA	NA	1022,5	NA	NA	7	1116,4	34759,8	38,5	26,0	NA	NA	NA	104,1A	NA	
