<Header>
User name: Carl
Location: probe cabin
# of Location: 1
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2.05 (15-06-2020)
Unit: dM [ug/m3]
C-factor: 1,00
location factor: 1,00
Comment: F2583
online data
<Data>
[d&t31.12.2035 11:50:55]	0,253 um	0,298 um	0,352 um	0,414 um	0,488 um	0,576 um	0,679 um	0,800 um	0,943 um	1,112 um	1,310 um	1,545 um	1,821 um	2,146 um	2,530 um	2,982 um
12.06.2025 13:21:15	0,32	0,23	0,24	0,25	0,16	0,08	0,12	0,06	0,05	0,00	0,26	0,21	0,69	0,00	0,00	0,00
12.06.2025 13:21:16	0,30	0,23	0,19	0,24	0,15	0,14	0,11	0,00	0,05	0,00	0,38	0,00	0,34	0,56	0,00	0,00
12.06.2025 13:21:17	0,29	0,21	0,23	0,21	0,13	0,08	0,12	0,00	0,00	0,08	0,13	0,21	0,34	0,00	0,00	1,51
12.06.2025 13:21:18	0,34	0,23	0,22	0,17	0,11	0,17	0,07	0,12	0,14	0,00	0,13	0,00	0,34	0,56	0,00	3,02
12.06.2025 13:21:19	0,33	0,21	0,27	0,26	0,12	0,09	0,16	0,09	0,10	0,00	0,26	0,21	0,00	0,00	0,92	0,00
12.06.2025 13:21:20	0,29	0,22	0,20	0,22	0,12	0,05	0,07	0,00	0,00	0,08	0,26	0,42	0,69	0,56	0,00	3,02
12.06.2025 13:21:21	0,31	0,22	0,24	0,25	0,17	0,12	0,14	0,03	0,19	0,08	0,26	0,00	0,69	1,69	0,00	3,02
12.06.2025 13:21:22	0,33	0,25	0,25	0,26	0,17	0,15	0,04	0,03	0,00	0,16	0,26	0,84	0,34	0,00	1,84	1,51
12.06.2025 13:21:23	0,29	0,24	0,27	0,20	0,17	0,09	0,11	0,06	0,00	0,23	0,00	0,00	0,69	0,00	0,00	0,00
12.06.2025 13:21:24	0,28	0,24	0,21	0,19	0,17	0,14	0,05	0,03	0,10	0,16	0,00	0,21	0,34	0,00	0,00	0,00
12.06.2025 13:21:25	0,31	0,21	0,23	0,20	0,12	0,11	0,11	0,09	0,00	0,16	0,51	0,42	0,69	1,12	0,92	3,02
12.06.2025 13:21:26	0,30	0,21	0,18	0,17	0,21	0,15	0,12	0,06	0,00	0,08	0,26	0,21	0,34	0,56	0,92	4,52
12.06.2025 13:21:27	0,26	0,22	0,25	0,23	0,13	0,14	0,12	0,09	0,10	0,00	0,26	0,21	1,03	0,56	0,92	1,51
12.06.2025 13:21:28	0,33	0,23	0,21	0,21	0,18	0,16	0,09	0,12	0,10	0,08	0,00	0,42	0,34	0,00	0,92	4,52
12.06.2025 13:21:29	0,32	0,25	0,16	0,25	0,13	0,15	0,05	0,12	0,10	0,31	0,00	0,21	0,00	0,00	0,00	3,02
12.06.2025 13:21:30	0,32	0,25	0,23	0,19	0,14	0,13	0,11	0,03	0,05	0,08	0,00	0,21	0,34	0,00	0,92	0,00
12.06.2025 13:21:31	0,32	0,24	0,22	0,26	0,18	0,13	0,09	0,06	0,10	0,08	0,13	0,21	0,69	1,12	0,00	3,02
12.06.2025 13:21:32	0,32	0,22	0,24	0,24	0,18	0,21	0,12	0,00	0,10	0,00	0,00	0,21	0,34	0,00	1,84	1,51
12.06.2025 13:21:33	0,34	0,25	0,21	0,25	0,17	0,16	0,11	0,12	0,10	0,23	0,13	0,63	0,34	0,00	0,92	1,51
12.06.2025 13:21:34	0,28	0,23	0,19	0,18	0,17	0,10	0,18	0,03	0,05	0,08	0,13	0,42	0,00	0,00	0,00	3,02
12.06.2025 13:21:35	0,29	0,23	0,22	0,27	0,17	0,15	0,14	0,15	0,05	0,16	0,26	0,21	0,34	0,00	0,92	1,51
12.06.2025 13:21:36	0,32	0,27	0,25	0,31	0,11	0,17	0,11	0,12	0,00	0,16	0,26	0,63	0,00	0,00	0,00	4,52
12.06.2025 13:21:37	0,29	0,20	0,27	0,27	0,17	0,15	0,11	0,12	0,10	0,16	0,00	0,00	0,00	0,00	0,00	3,02
12.06.2025 13:21:38	0,32	0,21	0,21	0,22	0,16	0,11	0,04	0,03	0,10	0,00	0,38	0,21	0,69	0,56	0,00	1,51
12.06.2025 13:21:39	0,26	0,20	0,24	0,30	0,18	0,05	0,12	0,09	0,14	0,08	0,51	0,21	1,03	0,00	0,00	1,51
12.06.2025 13:21:40	0,31	0,23	0,23	0,26	0,17	0,10	0,07	0,12	0,05	0,00	0,13	0,84	0,00	0,56	0,92	0,00
12.06.2025 13:21:41	0,29	0,24	0,22	0,26	0,15	0,14	0,05	0,09	0,10	0,16	0,26	0,00	0,69	0,56	0,92	4,52
12.06.2025 13:21:42	0,29	0,23	0,21	0,27	0,17	0,15	0,11	0,06	0,05	0,23	0,13	0,00	0,69	0,00	1,84	1,51
12.06.2025 13:21:43	0,25	0,27	0,21	0,21	0,20	0,16	0,07	0,12	0,10	0,16	0,13	0,00	0,00	1,12	0,00	1,51
12.06.2025 13:21:44	0,31	0,23	0,21	0,19	0,12	0,08	0,04	0,15	0,10	0,16	0,38	0,21	0,00	0,56	1,84	4,52
12.06.2025 13:21:45	0,30	0,21	0,22	0,21	0,17	0,25	0,11	0,06	0,00	0,16	0,13	0,00	0,00	0,56	0,92	4,52
